20230324	13:04:13	335b133f-c278-43e8-9a9e-4e134d411ae7	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	13:04:13	08182107-0343-4366-ab25-8bab9a2e51a1	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	13:07:01	0d540ad4-8af9-474a-b3fb-c46f6f07f4e2	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	13:07:01	8e72d3a8-7bb2-477f-8da4-46b037164d73	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	13:07:26	8cab95c1-e17a-4dbb-b560-6a8c8e9c9c7c	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	13:07:27	e2feb630-9731-407b-8d1c-c3cdf80135cd	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	13:08:09	633d9aa8-e164-4686-a00f-1f7a08f25588	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	13:08:09	234ab2eb-71ab-4433-aa5c-21ce1cd70bb2	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	13:11:20	3fe11a60-c28c-4d5c-bf04-94c72305f0d0	GET 	 undefined 	 /insurance/alldata
20230324	13:11:34	6a499c11-88e6-479a-824e-e62806d61778	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	13:11:34	25f34087-2c41-4166-af6a-e6d4c8c7579a	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
